4.424911906886830337e-01 9.700827638402099495e+00
8.369278957420789311e-01 2.073828035217459131e+01
9.052758453332410138e-01 2.263132045716530882e+01
9.779952928538337975e-01 2.491138513398942322e+01
9.954670224663664246e-01 2.526857011692302635e+01
1.095650398029716088e+00 2.647761729818506282e+01
1.791231712585665825e+00 4.248564272447431023e+01
2.012993755743999191e+00 5.390246588521306137e+01
2.590463932169715378e+00 5.682585243589740998e+01
2.741734597331999534e+00 6.183922327076601988e+01
2.752634105213076499e+00 6.428993635717461075e+01
2.972949023962684123e+00 6.711631170628801613e+01
3.553923700735760249e+00 7.518102232963100562e+01
3.725506454765195041e+00 9.048272480850928901e+01
3.919970883959739361e+00 7.677975931617420713e+01
3.973275510825299506e+00 1.009999356985040464e+02
4.144810415225027356e+00 1.054053068787644492e+02
4.283953090219304372e+00 8.931718082920025381e+01
4.580120043017873677e+00 9.956090265408116124e+01
4.868506988307541583e+00 1.145252503594281563e+02
4.906625329822215775e+00 1.331214421059490576e+02
5.141060415556594876e+00 1.359290176025724577e+02
6.194757338073589636e+00 1.365123188965204122e+02
6.201126195740013003e+00 1.523031080027178348e+02
6.618198519166186955e+00 1.629670126696076409e+02
6.672820567817816517e+00 1.363321442962248966e+02
6.688483733774052808e+00 1.596615797356670612e+02
6.766518454089735179e+00 1.464600504561735761e+02
6.818115106173944895e+00 1.465027241418764845e+02
6.854242570678162672e+00 1.560349219967307874e+02
6.858885657465535246e+00 1.498217430372621379e+02
6.878861603354113008e+00 1.468288991740677716e+02
7.227504627054011088e+00 1.733606802731732728e+02
7.480951465314414683e+00 1.671220391282100763e+02
7.564410402567375513e+00 1.880507727382756684e+02
7.670613676363638334e+00 1.563887898712068250e+02
8.413056203974740299e+00 1.897155293502247844e+02
9.283456851911175534e+00 2.152876679526341093e+02
9.484936482486608256e+00 2.080615933458210236e+02
9.515317040995853404e+00 2.191768576875194015e+02
9.623282251360780748e+00 2.447296702736406644e+02
9.809833277242780980e+00 2.115760471646591157e+02
9.927593777191292546e+00 2.298814934568237334e+02
9.992319708173537762e+00 2.370796207778144549e+02
9.993771512288997627e+00 2.339562120542369144e+02
